"ID";"ITEM";"FORMA";"COMPETENCIA";"ESTRUCTURA";"FUNCION";"DIFICULTAD_TCT";"BANCO_WEBEXAM"
875;"ABSGP040";"12";"RAZONAMIENTO ABSTRACTO";"2.1.2";"OPERATIVO";71,42;"ABS12"
876;"57772";"12";"RAZONAMIENTO ABSTRACTO";"3.1.1";"PILOTO";73,59;"ABS12"
877;"ABSCR022";"12";"RAZONAMIENTO ABSTRACTO";"3.1.1";"OPERATIVO";54,28;"ABS12"
878;"ABSJI015";"12";"RAZONAMIENTO ABSTRACTO";"3.2.1";"OPERATIVO";29,26;"ABS12"
879;"ABSTJ063";"12";"RAZONAMIENTO ABSTRACTO";"3.2.1";"OPERATIVO";57,14;"ABS12"
880;"ABSCR024";"12";"RAZONAMIENTO ABSTRACTO";"3.3.1";"PILOTO";69,27;"ABS12"
881;"ABSVP032";"12";"RAZONAMIENTO ABSTRACTO";"3.3.1";"OPERATIVO";45,32;"ABS12"
882;"CIEVM005";"13";"CIENTIFICA";"1.1.1";"OPERATIVO";74,12;"CIE13"
883;"CIESD038";"13";"CIENTIFICA";"1.1.1";"OPERATIVO";87,80;"CIE13"
884;"CIESW030";"13";"CIENTIFICA";"2.1.1";"OPERATIVO";78,08;"CIE13"
885;"CIECS028";"13";"CIENTIFICA";"2.1.1";"OPERATIVO";87,80;"CIE13"
886;"CIEMB045";"13";"CIENTIFICA";"2.1.2";"OPERATIVO";87,80;"CIE13"
887;"CIEAY072";"13";"CIENTIFICA";"2.2.1";"OPERATIVO";38,44;"CIE13"
